Domestic Consumption,Ending Stocks,Balance,Stocks-to-use
1690,334,0.19763313609467456,19.763313609467456
1725,501,0.29043478260869565,29.043478260869566
1800,420,0.23333333333333334,23.333333333333332
1800,270,0.15,15.0
1825,195,0.10684931506849316,10.684931506849315
400,77,0.1925,19.25
370,28,0.07567567567567568,7.567567567567568
380,53,0.1394736842105263,13.94736842105263
390,52,0.13333333333333333,13.333333333333334
400,40,0.1,10.0
600,48,0.08,8.0
680,54,0.07941176470588235,7.941176470588235
600,52,0.08666666666666667,8.666666666666668
700,152,0.21714285714285714,21.714285714285715
630,142,0.2253968253968254,22.53968253968254
120,17,0.14166666666666666,14.166666666666666
145,37,0.25517241379310346,25.517241379310345
145,20,0.13793103448275862,13.793103448275861
150,25,0.16666666666666666,16.666666666666664
150,25,0.16666666666666666,16.666666666666664
7150,253,0.03538461538461538,3.5384615384615383
7425,514,0.06922558922558923,6.922558922558923
7800,746,0.09564102564102564,9.564102564102564
7700,446,0.05792207792207792,5.792207792207792
7800,646,0.08282051282051282,8.282051282051283
650,27,0.04153846153846154,4.153846153846154
650,256,0.39384615384615385,39.38461538461539
550,155,0.2818181818181818,28.18181818181818
575,55,0.09565217391304348,9.565217391304348
550,55,0.1,10.0
697,0,0.0,0.0
585,0,0.0,0.0
447,0,0.0,0.0
593,0,0.0,0.0
593,0,0.0,0.0
10300,1249,0.1212621359223301,12.12621359223301
10500,2281,0.21723809523809523,21.72380952380952
10000,1137,0.1137,11.37
10300,1422,0.13805825242718447,13.805825242718447
10200,1147,0.11245098039215687,11.245098039215687
920,99,0.10760869565217392,10.760869565217392
775,67,0.08645161290322581,8.645161290322582
800,106,0.1325,13.25
850,122,0.14352941176470588,14.352941176470587
880,118,0.1340909090909091,13.40909090909091
110,18,0.16363636363636364,16.363636363636363
120,11,0.09166666666666666,9.166666666666666
120,14,0.11666666666666667,11.666666666666666
110,14,0.12727272727272726,12.727272727272727
115,14,0.12173913043478261,12.173913043478262
2519,0,0.0,0.0
2354,0,0.0,0.0
2176,0,0.0,0.0
2280,0,0.0,0.0
2305,0,0.0,0.0
940,237,0.2521276595744681,25.21276595744681
980,286,0.29183673469387755,29.183673469387756
1165,263,0.2257510729613734,22.57510729613734
1030,274,0.26601941747572816,26.601941747572816
1030,254,0.24660194174757283,24.660194174757283
190,36,0.18947368421052632,18.947368421052634
180,53,0.29444444444444445,29.444444444444446
180,49,0.2722222222222222,27.22222222222222
190,49,0.2578947368421053,25.789473684210527
190,49,0.2578947368421053,25.789473684210527
275,0,0.0,0.0
300,0,0.0,0.0
245,0,0.0,0.0
200,0,0.0,0.0
200,0,0.0,0.0
5550,791,0.1425225225225225,14.252252252252251
5850,618,0.10564102564102563,10.564102564102564
4700,360,0.07659574468085106,7.659574468085106
4600,330,0.07173913043478261,7.173913043478261
4500,370,0.08222222222222222,8.222222222222223
395,26,0.06582278481012659,6.582278481012659
375,29,0.07733333333333334,7.733333333333333
375,46,0.12266666666666666,12.266666666666666
375,51,0.136,13.600000000000001
385,61,0.15844155844155844,15.844155844155845
740,284,0.3837837837837838,38.37837837837838
745,159,0.2134228187919463,21.34228187919463
695,116,0.1669064748201439,16.69064748201439
775,136,0.17548387096774193,17.548387096774192
775,131,0.16903225806451613,16.903225806451612
630,218,0.346031746031746,34.6031746031746
590,258,0.43728813559322033,43.728813559322035
670,359,0.5358208955223881,53.58208955223881
690,359,0.5202898550724637,52.028985507246375
700,379,0.5414285714285715,54.142857142857146
26300,3056,0.11619771863117871,11.61977186311787
27700,4530,0.1635379061371841,16.35379061371841
29200,3910,0.1339041095890411,13.39041095890411
30200,4886,0.1617880794701987,16.17880794701987
31000,4186,0.13503225806451613,13.503225806451614
190,6,0.031578947368421054,3.1578947368421053
163,6,0.03680981595092025,3.6809815950920246
180,6,0.03333333333333333,3.3333333333333335
160,6,0.0375,3.75
180,6,0.03333333333333333,3.3333333333333335
325,67,0.20615384615384616,20.615384615384617
370,66,0.1783783783783784,17.83783783783784
300,44,0.14666666666666667,14.666666666666666
350,44,0.12571428571428572,12.571428571428573
340,34,0.1,10.0
690,471,0.6826086956521739,68.26086956521739
700,423,0.6042857142857143,60.42857142857143
710,323,0.45492957746478874,45.49295774647887
700,221,0.3157142857142857,31.571428571428573
710,266,0.37464788732394366,37.46478873239437
2330,381,0.16351931330472103,16.3519313304721
2180,346,0.15871559633027524,15.871559633027523
2180,234,0.10733944954128441,10.733944954128441
2080,294,0.14134615384615384,14.134615384615385
2180,369,0.16926605504587156,16.926605504587155
6600,1330,0.2015151515151515,20.151515151515152
6800,1375,0.20220588235294118,20.22058823529412
6000,1096,0.18266666666666667,18.266666666666666
6050,1226,0.20264462809917355,20.264462809917354
5950,1156,0.19428571428571428,19.428571428571427
42500,11380,0.26776470588235296,26.776470588235295
41750,12088,0.28953293413173653,28.953293413173654
42000,14388,0.3425714285714286,34.25714285714286
41000,11188,0.2728780487804878,27.28780487804878
38750,7738,0.19969032258064517,19.969032258064516
160,37,0.23125,23.125
180,51,0.2833333333333333,28.333333333333332
120,36,0.3,30.0
160,69,0.43125,43.125
170,62,0.36470588235294116,36.470588235294116
3700,2429,0.6564864864864864,65.64864864864865
3900,2002,0.5133333333333333,51.33333333333333
4200,3504,0.8342857142857143,83.42857142857143
4450,4154,0.9334831460674158,93.34831460674158
4700,4304,0.9157446808510639,91.57446808510639
670,29,0.04328358208955224,4.328358208955224
750,110,0.14666666666666667,14.666666666666666
800,181,0.22625,22.625
810,141,0.17407407407407408,17.40740740740741
820,141,0.1719512195121951,17.195121951219512
1970,338,0.1715736040609137,17.15736040609137
1980,555,0.2803030303030303,28.030303030303028
2050,919,0.4482926829268293,44.829268292682926
2180,904,0.41467889908256883,41.467889908256886
2100,514,0.24476190476190476,24.476190476190478
96,0,0.0,0.0
97,0,0.0,0.0
75,0,0.0,0.0
100,0,0.0,0.0
100,0,0.0,0.0
360,90,0.25,25.0
350,51,0.1457142857142857,14.571428571428571
300,11,0.03666666666666667,3.6666666666666665
310,31,0.1,10.0
310,31,0.1,10.0
680,0,0.0,0.0
711,0,0.0,0.0
750,0,0.0,0.0
900,0,0.0,0.0
900,0,0.0,0.0
3680,455,0.12364130434782608,12.364130434782608
3680,453,0.12309782608695652,12.309782608695652
3530,313,0.0886685552407932,8.86685552407932
3620,318,0.08784530386740332,8.784530386740332
3675,243,0.06612244897959184,6.612244897959184
1300,347,0.26692307692307693,26.692307692307693
1175,168,0.14297872340425533,14.297872340425533
1050,120,0.11428571428571428,11.428571428571429
925,70,0.07567567567567568,7.567567567567568
1000,95,0.095,9.5
3000,301,0.10033333333333333,10.033333333333333
3000,284,0.09466666666666666,9.466666666666667
2800,236,0.08428571428571428,8.428571428571429
2950,236,0.08,8.0
3000,286,0.09533333333333334,9.533333333333333
980,160,0.16326530612244897,16.3265306122449
1000,192,0.192,19.2
1030,247,0.23980582524271846,23.980582524271846
1035,237,0.2289855072463768,22.89855072463768
1045,217,0.2076555023923445,20.76555023923445
4300,2112,0.49116279069767443,49.116279069767444
4300,1639,0.3811627906976744,38.11627906976744
3900,1041,0.26692307692307693,26.692307692307693
3900,1191,0.30538461538461537,30.538461538461537
4000,1341,0.33525,33.525
1325,204,0.15396226415094338,15.396226415094338
1325,199,0.150188679245283,15.018867924528301
1300,109,0.08384615384615385,8.384615384615385
1275,160,0.12549019607843137,12.549019607843137
1275,211,0.16549019607843138,16.54901960784314
2025,463,0.22864197530864197,22.864197530864196
1950,337,0.17282051282051283,17.282051282051285
2000,283,0.1415,14.149999999999999
2050,344,0.1678048780487805,16.78048780487805
2100,464,0.22095238095238096,22.095238095238095
1100,182,0.16545454545454547,16.545454545454547
1100,69,0.06272727272727273,6.2727272727272725
1200,114,0.095,9.5
1350,139,0.10296296296296296,10.296296296296296
1400,164,0.11714285714285715,11.714285714285715
2960,789,0.2665540540540541,26.655405405405407
2450,366,0.1493877551020408,14.93877551020408
2650,546,0.2060377358490566,20.60377358490566
2800,546,0.195,19.5
2720,526,0.19338235294117648,19.33823529411765
290,61,0.2103448275862069,21.03448275862069
330,35,0.10606060606060606,10.606060606060606
280,30,0.10714285714285714,10.714285714285714
295,35,0.11864406779661017,11.864406779661017
300,35,0.11666666666666667,11.666666666666666
140,3,0.02142857142857143,2.142857142857143
133,3,0.022556390977443608,2.2556390977443606
115,3,0.02608695652173913,2.608695652173913
140,3,0.02142857142857143,2.142857142857143
140,3,0.02142857142857143,2.142857142857143
3000,727,0.24233333333333335,24.233333333333334
3050,650,0.21311475409836064,21.311475409836063
3000,806,0.26866666666666666,26.866666666666667
2800,427,0.1525,15.25
2900,457,0.15758620689655173,15.758620689655173
20600,3730,0.18106796116504853,18.106796116504853
20100,2337,0.11626865671641791,11.626865671641792
20200,4584,0.22693069306930694,22.693069306930695
20300,4284,0.2110344827586207,21.103448275862068
20200,3584,0.17742574257425742,17.74257425742574
1575,451,0.28634920634920635,28.634920634920636
1550,316,0.20387096774193547,20.387096774193548
1525,368,0.24131147540983608,24.13114754098361
1400,218,0.15571428571428572,15.571428571428573
1450,268,0.18482758620689654,18.482758620689655
560,60,0.10714285714285714,10.714285714285714
570,58,0.10175438596491228,10.175438596491228
500,38,0.076,7.6
500,33,0.066,6.6000000000000005
505,33,0.06534653465346535,6.534653465346535
8700,1505,0.17298850574712643,17.29885057471264
9500,6265,0.6594736842105263,65.94736842105263
7800,2902,0.3720512820512821,37.205128205128204
6800,1082,0.15911764705882353,15.911764705882353
6700,962,0.1435820895522388,14.35820895522388
1525,475,0.3114754098360656,31.147540983606557
1525,397,0.260327868852459,26.0327868852459
1650,591,0.35818181818181816,35.81818181818181
1700,541,0.31823529411764706,31.823529411764707
1750,491,0.2805714285714286,28.057142857142857
13240,1416,0.10694864048338369,10.694864048338369
15324,1846,0.12046463064474028,12.046463064474027
15000,2496,0.1664,16.64
15250,3226,0.21154098360655738,21.154098360655738
14000,2476,0.17685714285714285,17.685714285714287
30185,23001,0.7620009938711281,76.2000993871128
30411,18355,0.603564499687613,60.356449968761304
30422,15501,0.5095325751101176,50.95325751101176
30318,18712,0.6171911075928491,61.71911075928491
30591,20639,0.6746755581707038,67.46755581707038
450,137,0.30444444444444446,30.444444444444446
380,38,0.1,10.0
450,115,0.25555555555555554,25.555555555555554
410,30,0.07317073170731707,7.317073170731707
430,60,0.13953488372093023,13.953488372093023
8600,1205,0.14011627906976745,14.011627906976745
8250,864,0.10472727272727272,10.472727272727273
8700,1584,0.1820689655172414,18.20689655172414
8900,1646,0.1849438202247191,18.49438202247191
9000,1846,0.2051111111111111,20.51111111111111
1050,261,0.24857142857142858,24.857142857142858
1150,346,0.3008695652173913,30.08695652173913
1200,339,0.2825,28.249999999999996
1250,389,0.3112,31.119999999999997
1300,389,0.29923076923076924,29.923076923076923
3750,717,0.1912,19.12
4150,740,0.1783132530120482,17.83132530120482
4300,311,0.07232558139534884,7.232558139534884
4500,511,0.11355555555555556,11.355555555555556
4150,561,0.13518072289156627,13.518072289156628
4000,602,0.1505,15.049999999999999
3900,282,0.07230769230769231,7.230769230769231
4000,539,0.13475,13.475000000000001
4000,339,0.08475,8.475000000000001
3900,349,0.08948717948717949,8.948717948717949
235,26,0.11063829787234042,11.063829787234042
225,35,0.15555555555555556,15.555555555555555
270,64,0.23703703703703705,23.703703703703706
305,109,0.35737704918032787,35.73770491803279
425,34,0.08,8.0
400,75,0.1875,18.75
410,65,0.15853658536585366,15.853658536585366
470,87,0.1851063829787234,18.51063829787234
530,137,0.25849056603773585,25.849056603773583
600,117,0.195,19.5
